REGION|AGRUPACION_CANAL|FECHA|CUOTA_CANAL
PACIFICO BAJIO|BBR|2018-09-15 00:00:00|2604
PACIFICO BAJIO|BBR|2018-09-16 00:00:00|2533
PACIFICO BAJIO|BBR|2018-09-17 00:00:00|2094
PACIFICO BAJIO|BBR|2018-09-18 00:00:00|2026
PACIFICO BAJIO|BBR|2018-09-19 00:00:00|1931
PACIFICO BAJIO|BBR|2018-09-20 00:00:00|1948
PACIFICO BAJIO|BBR|2018-09-21 00:00:00|2294
PACIFICO BAJIO|BBR|2018-09-22 00:00:00|2648
PACIFICO BAJIO|BBR|2018-09-23 00:00:00|2617
PACIFICO BAJIO|BBR|2018-09-24 00:00:00|2207
PACIFICO BAJIO|BBR|2018-09-25 00:00:00|2169
PACIFICO BAJIO|BBR|2018-09-26 00:00:00|2019
PACIFICO BAJIO|BBR|2018-09-27 00:00:00|1911
PACIFICO BAJIO|BBR|2018-09-28 00:00:00|2369
PACIFICO BAJIO|BBR|2018-09-29 00:00:00|2677
PACIFICO BAJIO|BBR|2018-09-30 00:00:00|2566
SUR PENINSULA|BBR|2018-09-01 00:00:00|2782
SUR PENINSULA|BBR|2018-09-02 00:00:00|3451
SUR PENINSULA|BBR|2018-09-03 00:00:00|2449
SUR PENINSULA|BBR|2018-09-04 00:00:00|2128
SUR PENINSULA|BBR|2018-09-05 00:00:00|2065
SUR PENINSULA|BBR|2018-09-06 00:00:00|2069
SUR PENINSULA|BBR|2018-09-07 00:00:00|2258
SUR PENINSULA|BBR|2018-09-08 00:00:00|2770
SUR PENINSULA|BBR|2018-09-09 00:00:00|3456
SUR PENINSULA|BBR|2018-09-10 00:00:00|2330
SUR PENINSULA|BBR|2018-09-11 00:00:00|2012
SUR PENINSULA|BBR|2018-09-12 00:00:00|1946
SUR PENINSULA|BBR|2018-09-13 00:00:00|1948
SUR PENINSULA|BBR|2018-09-14 00:00:00|2135
SUR PENINSULA|BBR|2018-09-15 00:00:00|2653
SUR PENINSULA|BBR|2018-09-16 00:00:00|3305
SUR PENINSULA|BBR|2018-09-17 00:00:00|2282
SUR PENINSULA|BBR|2018-09-18 00:00:00|1950
SUR PENINSULA|BBR|2018-09-19 00:00:00|1871
SUR PENINSULA|BBR|2018-09-20 00:00:00|1874
SUR PENINSULA|BBR|2018-09-21 00:00:00|2079
SUR PENINSULA|BBR|2018-09-22 00:00:00|2581
SUR PENINSULA|BBR|2018-09-23 00:00:00|3299
SUR PENINSULA|BBR|2018-09-24 00:00:00|2106
SUR PENINSULA|BBR|2018-09-25 00:00:00|1804
SUR PENINSULA|BBR|2018-09-26 00:00:00|1729
SUR PENINSULA|BBR|2018-09-27 00:00:00|1732
SUR PENINSULA|BBR|2018-09-28 00:00:00|1918
SUR PENINSULA|BBR|2018-09-29 00:00:00|2429
SUR PENINSULA|BBR|2018-09-30 00:00:00|3094
CALL CENTER|CC|2018-09-01 00:00:00|0
CALL CENTER|CC|2018-09-02 00:00:00|0
CALL CENTER|CC|2018-09-03 00:00:00|0
CALL CENTER|CC|2018-09-04 00:00:00|0
CALL CENTER|CC|2018-09-05 00:00:00|0
CALL CENTER|CC|2018-09-06 00:00:00|0
CALL CENTER|CC|2018-09-07 00:00:00|0
CALL CENTER|CC|2018-09-08 00:00:00|0
CALL CENTER|CC|2018-09-09 00:00:00|0
CALL CENTER|CC|2018-09-10 00:00:00|0
CALL CENTER|CC|2018-09-11 00:00:00|0
CALL CENTER|CC|2018-09-12 00:00:00|0
CALL CENTER|CC|2018-09-13 00:00:00|0
CALL CENTER|CC|2018-09-14 00:00:00|0
CALL CENTER|CC|2018-09-15 00:00:00|0
CALL CENTER|CC|2018-09-16 00:00:00|0
CALL CENTER|CC|2018-09-17 00:00:00|0
CALL CENTER|CC|2018-09-18 00:00:00|0
CALL CENTER|CC|2018-09-19 00:00:00|0
CALL CENTER|CC|2018-09-20 00:00:00|0
CALL CENTER|CC|2018-09-21 00:00:00|0
CALL CENTER|CC|2018-09-22 00:00:00|0
CALL CENTER|CC|2018-09-23 00:00:00|0
CALL CENTER|CC|2018-09-24 00:00:00|0
CALL CENTER|CC|2018-09-25 00:00:00|0
CALL CENTER|CC|2018-09-26 00:00:00|0
CALL CENTER|CC|2018-09-27 00:00:00|0
CALL CENTER|CC|2018-09-28 00:00:00|0
CALL CENTER|CC|2018-09-29 00:00:00|0
CALL CENTER|CC|2018-09-30 00:00:00|0
CENTRO|CC|2018-09-01 00:00:00|0
CENTRO|CC|2018-09-02 00:00:00|0
CENTRO|CC|2018-09-03 00:00:00|0
CENTRO|CC|2018-09-04 00:00:00|0
CENTRO|CC|2018-09-05 00:00:00|0
CENTRO|CC|2018-09-06 00:00:00|0
CENTRO|CC|2018-09-07 00:00:00|0
CENTRO|CC|2018-09-08 00:00:00|0
CENTRO|CC|2018-09-09 00:00:00|0
CENTRO|CC|2018-09-10 00:00:00|0
CENTRO|CC|2018-09-11 00:00:00|0
CENTRO|CC|2018-09-12 00:00:00|0
CENTRO|CC|2018-09-13 00:00:00|0
CENTRO|CC|2018-09-14 00:00:00|0
CENTRO|CC|2018-09-15 00:00:00|0
CENTRO|CC|2018-09-16 00:00:00|0
CENTRO|CC|2018-09-17 00:00:00|0
CENTRO|CC|2018-09-18 00:00:00|0
CENTRO|CC|2018-09-19 00:00:00|0
CENTRO|CC|2018-09-20 00:00:00|0
CENTRO|CC|2018-09-21 00:00:00|0
CENTRO|CC|2018-09-22 00:00:00|0
CENTRO|CC|2018-09-23 00:00:00|0
CENTRO|CC|2018-09-24 00:00:00|0
CENTRO|CC|2018-09-25 00:00:00|0
CENTRO|CC|2018-09-26 00:00:00|0
CENTRO|CC|2018-09-27 00:00:00|0
CENTRO|CC|2018-09-28 00:00:00|0
CENTRO|CC|2018-09-29 00:00:00|0
CENTRO|CC|2018-09-30 00:00:00|0
NOROESTE|CC|2018-09-01 00:00:00|0
NOROESTE|CC|2018-09-02 00:00:00|0
NOROESTE|CC|2018-09-03 00:00:00|0
NOROESTE|CC|2018-09-04 00:00:00|0
NOROESTE|CC|2018-09-05 00:00:00|0
NOROESTE|CC|2018-09-06 00:00:00|0
NOROESTE|CC|2018-09-07 00:00:00|0
NOROESTE|CC|2018-09-08 00:00:00|0
NOROESTE|CC|2018-09-09 00:00:00|0
NOROESTE|CC|2018-09-10 00:00:00|0
NOROESTE|CC|2018-09-11 00:00:00|0
NOROESTE|CC|2018-09-12 00:00:00|0
NOROESTE|CC|2018-09-13 00:00:00|0
NOROESTE|CC|2018-09-14 00:00:00|0
NOROESTE|CC|2018-09-15 00:00:00|0
NOROESTE|CC|2018-09-16 00:00:00|0
NOROESTE|CC|2018-09-17 00:00:00|0
NOROESTE|CC|2018-09-18 00:00:00|0
NOROESTE|CC|2018-09-19 00:00:00|0
NOROESTE|CC|2018-09-20 00:00:00|0
NOROESTE|CC|2018-09-21 00:00:00|0
NOROESTE|CC|2018-09-22 00:00:00|0
NOROESTE|CC|2018-09-23 00:00:00|0
NOROESTE|CC|2018-09-24 00:00:00|0
NOROESTE|CC|2018-09-25 00:00:00|0
NOROESTE|CC|2018-09-26 00:00:00|0
NOROESTE|CC|2018-09-27 00:00:00|0
NOROESTE|CC|2018-09-28 00:00:00|0
NOROESTE|CC|2018-09-29 00:00:00|0
NOROESTE|CC|2018-09-30 00:00:00|0
NORTE|CC|2018-09-01 00:00:00|0
NORTE|CC|2018-09-02 00:00:00|0
NORTE|CC|2018-09-03 00:00:00|0
NORTE|CC|2018-09-04 00:00:00|0
NORTE|CC|2018-09-05 00:00:00|0
NORTE|CC|2018-09-06 00:00:00|0
NORTE|CC|2018-09-07 00:00:00|0
NORTE|CC|2018-09-08 00:00:00|0
NORTE|CC|2018-09-09 00:00:00|0
NORTE|CC|2018-09-10 00:00:00|0
NORTE|CC|2018-09-11 00:00:00|0
NORTE|CC|2018-09-12 00:00:00|0
NORTE|CC|2018-09-13 00:00:00|0
NORTE|CC|2018-09-14 00:00:00|0
NORTE|CC|2018-09-15 00:00:00|0
NORTE|CC|2018-09-16 00:00:00|0
NORTE|CC|2018-09-17 00:00:00|0
NORTE|CC|2018-09-18 00:00:00|0
NORTE|CC|2018-09-19 00:00:00|0
NORTE|CC|2018-09-20 00:00:00|0
NORTE|CC|2018-09-21 00:00:00|0
NORTE|CC|2018-09-22 00:00:00|0
NORTE|CC|2018-09-23 00:00:00|0
NORTE|CC|2018-09-24 00:00:00|0
NORTE|CC|2018-09-25 00:00:00|0
NORTE|CC|2018-09-26 00:00:00|0
NORTE|CC|2018-09-27 00:00:00|0
NORTE|CC|2018-09-28 00:00:00|0
NORTE|CC|2018-09-29 00:00:00|0
NORTE|CC|2018-09-30 00:00:00|0
PACIFICO BAJIO|CC|2018-09-01 00:00:00|0
PACIFICO BAJIO|CC|2018-09-02 00:00:00|0
PACIFICO BAJIO|CC|2018-09-03 00:00:00|0
PACIFICO BAJIO|CC|2018-09-04 00:00:00|0
PACIFICO BAJIO|CC|2018-09-05 00:00:00|0
PACIFICO BAJIO|CC|2018-09-06 00:00:00|0
PACIFICO BAJIO|CC|2018-09-07 00:00:00|0
PACIFICO BAJIO|CC|2018-09-08 00:00:00|0
